Reference,Whisper_Transcription,Gemini_Transcription,Reference_normalize,Whisper_Transcription_normalize,Gemini_Transcription_normalize,Whisper_Transcription_WER,Gemini_Transcription_WER
NHỮNG NGƯỜI HOÀI NGHI NÓI RẰNG GIỮ ĐƯỢC VẬT TREO LỦNG LẲNG TRÊN NGƯỜI, Những người hoài nghi nói rằng giữ được vật treo lũng lẳng trên người.,những người hoài nghi nói rằng giữ được vật treo lủng lẳng trên người.,những người hoài nghi nói rằng giữ được vật treo lủng lẳng trên người,những người hoài nghi nói rằng giữ được vật treo lũng lẳng trên người,những người hoài nghi nói rằng giữ được vật treo lủng lẳng trên người,0.0714,0
RÔ BÓT THÔNG MINH, Robot thông minh,"Robot thông minh.
",rô bót thông minh,robot thông minh,robot thông minh,0.5,0.5
NÓNG GIẬN TÔI ĐÃ LĂNG MẠ ANH, Nóng giận tôi đã lăn mạ anh.,"Nóng giận tôi đã lăng mạ anh.
",nóng giận tôi đã lăng mạ anh,nóng giận tôi đã lăn mạ anh,nóng giận tôi đã lăng mạ anh,0.1429,0
NHIỀU NGƯỜI CHO BIẾT, Nhiều người cho biết.,"nhiều người cho biết,",nhiều người cho biết,nhiều người cho biết,nhiều người cho biết,0,0
BUỔI SÁNG THÀNH PHỐ Ô NHIỄM HƠN BUỔI TRƯA, Buổi sáng thành phố ô nhiễm hơn buổi trưa.,"Buổi sáng thành phố ô nhiễm hơn buổi trưa.
",buổi sáng thành phố ô nhiễm hơn buổi trưa,buổi sáng thành phố ô nhiễm hơn buổi trưa,buổi sáng thành phố ô nhiễm hơn buổi trưa,0,0
HỌ CŨNG LUÔN TRÁNH XA NHỮNG TÌNH HUỐNG CÓ THỂ GÂY HẠI CHO HỌ, Họ cũng luôn tránh xa những tình huống có thể gây hại cho họ,Họ cũng luôn tránh xa những tình huống có thể gây hại cho họ.,họ cũng luôn tránh xa những tình huống có thể gây hại cho họ,họ cũng luôn tránh xa những tình huống có thể gây hại cho họ,họ cũng luôn tránh xa những tình huống có thể gây hại cho họ,0,0
VÀ KHI THẤY TÔI VẪN KIÊN ĐỊNH TRẢ LỜI TRỚT QUỚT, Và khi thấy tôi vẫn kiên định trả lời trước quốc,"Và khi thấy tôi vẫn kiên định trả lời trớt quớt.
",và khi thấy tôi vẫn kiên định trả lời trớt quớt,và khi thấy tôi vẫn kiên định trả lời trước quốc,và khi thấy tôi vẫn kiên định trả lời trớt quớt,0.1818,0
TRONG CUỘC SỐNG CỦA TÔI CHÚNG KHÔNG DÙNG ĐỂ KIẾM RA LỢI NHUẬN, Trong cuộc sống của tôi chúng không dùng để kiếm ra lợi nhuận,Trong cuộc sống của tôi chúng không dùng để kiếm ra lợi nhuận.,trong cuộc sống của tôi chúng không dùng để kiếm ra lợi nhuận,trong cuộc sống của tôi chúng không dùng để kiếm ra lợi nhuận,trong cuộc sống của tôi chúng không dùng để kiếm ra lợi nhuận,0,0
ĐÓ HẲN LÀ MỘT MÓN QUÀ, Đó hẳn là một món quà.,Đó hẳn là một món quà.,đó hẳn là một món quà,đó hẳn là một món quà,đó hẳn là một món quà,0,0
HAI MƯƠI BỐN HAI MƯƠI LĂM," 24, 25.","24, 25.",hai mươi bốn hai mươi lăm,hai mươi tư hai mươi lăm,hai mươi tư hai mươi lăm,0.1667,0.1667
NGUYÊN THỨ TRƯỞNG BỘ ĐẠI HỌC VÀ GIÁO DỤC CHUYÊN NGHIỆP CŨ, Nguyên Thứ trưởng Bộ Đại học và Giáo dục chuyên nghiệp cũ,"Nguyên Thứ trưởng Bộ Đại học và Giáo dục chuyên nghiệp cũ.
",nguyên thứ trưởng bộ đại học và giáo dục chuyên nghiệp cũ,nguyên thứ trưởng bộ đại học và giáo dục chuyên nghiệp cũ,nguyên thứ trưởng bộ đại học và giáo dục chuyên nghiệp cũ,0,0
GIÓ TRỜI KHÔNG THỂ THÔNG THỐC THỔI VÀO KHAI TRUNG, Gió trời không thể thông thốc thổi vào khai trung,"Gió trời không thể thông thốc thổi vào khai trung.
",gió trời không thể thông thốc thổi vào khai trung,gió trời không thể thông thốc thổi vào khai trung,gió trời không thể thông thốc thổi vào khai trung,0,0
NHIỀU TRỤ ĐÁ DI TÍCH NẰM NGHIÊNG NGẢ VÀ VỠ NÁT, Nhiều trụ đá di tích nằm nghiêng ngã và vỡ nát.,nhiều trụ đá di tích nằm nghiêng ngả và vỡ nát,nhiều trụ đá di tích nằm nghiêng ngả và vỡ nát,nhiều trụ đá di tích nằm nghiêng ngã và vỡ nát,nhiều trụ đá di tích nằm nghiêng ngả và vỡ nát,0.0909,0
NĂM MƯƠI HAI NĂM MƯƠI BA, 52 53,"52, 53.
",năm mươi hai năm mươi ba,năm mươi hai năm mươi ba,năm mươi hai năm mươi ba,0,0
CHO NHỮNG CHUYẾN DÃ NGOẠI CỦA DU KHÁCH, Cho những chiến dở ngoại của du khách,Cho những chuyến dã ngoại của du khách.,cho những chuyến dã ngoại của du khách,cho những chiến dở ngoại của du khách,cho những chuyến dã ngoại của du khách,0.25,0
CỨ CHỤM CÁC ĐẦU NGÓN TAY LẠI MỘT CHỖ, Cứ chụm các đầu ngón tay lại một chỗ,"Cứ chụm các đầu ngón tay lại một chỗ.
",cứ chụm các đầu ngón tay lại một chỗ,cứ chụm các đầu ngón tay lại một chỗ,cứ chụm các đầu ngón tay lại một chỗ,0,0
HẰNG NĂM CHÚNG TA THẢI RA HÀNG TỈ THIẾT BỊ ĐIỆN TỬ, Hằng năm chúng ta thể ra hàng tỷ thiết bị điện tử.,Hằng năm chúng ta thải ra hàng tỷ thiết bị điện tử.,hằng năm chúng ta thải ra hàng tỉ thiết bị điện tử,hằng năm chúng ta thể ra hàng tỷ thiết bị điện tử,hằng năm chúng ta thải ra hàng tỷ thiết bị điện tử,0.1667,0.0833
NHỮNG NHƯỢC ĐIỂM CỦA MÌNH, Những nhược điểm của mình,Những nhược điểm của mình.,những nhược điểm của mình,những nhược điểm của mình,những nhược điểm của mình,0,0
KHI TRẪM KHỎI BỆNH THÌ SẼ CHÉM ĐẦU, Khi chậm khỏi bệnh thì sẽ chém đầu,"Khi chậm khỏi bệnh thì sẽ chém đầu.
",khi trẫm khỏi bệnh thì sẽ chém đầu,khi chậm khỏi bệnh thì sẽ chém đầu,khi chậm khỏi bệnh thì sẽ chém đầu,0.125,0.125
TRỪ KHI BẠN BIẾT TÔN TRỌNG BẢN THÂN MÌNH, Trừ khi bạn biết tôn trọng bản thân mình,"Trừ khi bạn biết tôn trọng bản thân mình,",trừ khi bạn biết tôn trọng bản thân mình,trừ khi bạn biết tôn trọng bản thân mình,trừ khi bạn biết tôn trọng bản thân mình,0,0
BỞI CƠ QUAN CHUYÊN MÔN HOẶC THUÊ TỔ CHỨC KIỂM TOÁN ĐỘC LẬP," Bởi cơ quan chuyên môn hoặc thuê tổ chức kiểm toán độc lập,",bởi cơ quan chuyên môn hoặc thuê tổ chức kiểm toán độc lập.,bởi cơ quan chuyên môn hoặc thuê tổ chức kiểm toán độc lập,bởi cơ quan chuyên môn hoặc thuê tổ chức kiểm toán độc lập,bởi cơ quan chuyên môn hoặc thuê tổ chức kiểm toán độc lập,0,0
NÃO BỘ CHÚNG TA PHÁT TRIỂN NHỮNG RUNG ĐỘNG YÊU THƯƠNG, Nở bộ chúng ta phát triển những gung động yêu hương,não bộ chúng ta phát triển những rung động yêu thương.,não bộ chúng ta phát triển những rung động yêu thương,nở bộ chúng ta phát triển những gung động yêu hương,não bộ chúng ta phát triển những rung động yêu thương,0.2727,0
NHỮNG CON ĐƯỜNG NGẮN NGỦN NHƯ NHỮNG NHÁT CẮT, Những con đường ngắn ngũng như những nhát cắt,Những con đường ngắn ngủn như những nhát cắt.,những con đường ngắn ngủn như những nhát cắt,những con đường ngắn ngũng như những nhát cắt,những con đường ngắn ngủn như những nhát cắt,0.1111,0
NHỮNG CƠN GIÓ MẠNH VÀ MƯA ĐÓNG BĂNG GÂY TRƠN TRỢT, Những cơn gió mạnh và mưa đóng băng gây trơn trợt,Những cơn gió mạnh và mưa đóng băng gây trơn trượt.,những cơn gió mạnh và mưa đóng băng gây trơn trợt,những cơn gió mạnh và mưa đóng băng gây trơn trợt,những cơn gió mạnh và mưa đóng băng gây trơn trượt,0,0.0909
GIÁM ĐỐC SỞ GIÁO DỤC ĐÀO TẠO NINH THUẬN CHO BIẾT, Giám đốc Sở Giáo dục Đào tạo Ninh Huận cho biết.,"Giám đốc Sở Giáo dục Đào tạo Ninh Thuận cho biết,",giám đốc sở giáo dục đào tạo ninh thuận cho biết,giám đốc sở giáo dục đào tạo ninh huận cho biết,giám đốc sở giáo dục đào tạo ninh thuận cho biết,0.0909,0
VÀ RẤT SÁNG TẠO, Và rất sáng tạo,và rất sáng tạo.,và rất sáng tạo,và rất sáng tạo,và rất sáng tạo,0,0
NGỌN LỬA BẠO ĐỘNG Ở TRUNG ĐÔNG VÀ PHÁ VỠ LỘ TRÌNH HÒA BÌNH, Ngọn lửa bỏ động ở Trung Đông và phá vỡ lội trình hòa bình,Ngọn lửa bạo động ở Trung Đông và phá vỡ lộ trình hòa bình.,ngọn lửa bạo động ở trung đông và phá vỡ lộ trình hòa bình,ngọn lửa bỏ động ở trung đông và phá vỡ lội trình hòa bình,ngọn lửa bạo động ở trung đông và phá vỡ lộ trình hòa bình,0.1429,0
NHƯNG TÔI THÍCH XEM BỘ PHIM TRUYỆN PHÁT NGAY SAU CHƯƠNG TRÌNH NÀY, Nhưng tôi thích xem bộ phim chuyển phát ngay sau chương trình này,Nhưng tôi thích xem bộ phim truyện phát ngay sau chương trình này.,nhưng tôi thích xem bộ phim truyện phát ngay sau chương trình này,nhưng tôi thích xem bộ phim chuyển phát ngay sau chương trình này,nhưng tôi thích xem bộ phim truyện phát ngay sau chương trình này,0.0769,0
THẬT SỰ MÀ LÀ BỞI LÒNG HẬN THÙ, Thật sự mà là bởi lòng hận hù.,Thật sự mà là bởi lòng hận thù.,thật sự mà là bởi lòng hận thù,thật sự mà là bởi lòng hận hù,thật sự mà là bởi lòng hận thù,0.125,0
XIN ĐƯỢC CHÂN KHUÂN VÁC, Xin được chân khuân vác,"Xin được chân khuynh thác.
",xin được chân khuân vác,xin được chân khuân vác,xin được chân khuynh thác,0,0.4
CŨNG CHƯA BIẾT NỮA, Cũng chưa biết nữa.,"Cũng chưa biết nữa.
",cũng chưa biết nữa,cũng chưa biết nữa,cũng chưa biết nữa,0,0
CŨNG LÊN TIẾNG ỦNG HỘ CÁC KIẾN NGHỊ NÀY, Cũng lên tiếng ủng hộ các ký nghị này,"cũng lên tiếng ủng hộ các kiến nghị này.
",cũng lên tiếng ủng hộ các kiến nghị này,cũng lên tiếng ủng hộ các ký nghị này,cũng lên tiếng ủng hộ các kiến nghị này,0.1111,0
DI TÍCH CÓ BẢY PHỖNG ÔNG VÀ HAI PHỖNG BÀ ĐƯỢC LÀM BẰNG GỖ MÍT, Di tích có 7 phỏng ong và 2 phỏng bà được làm bằng gỗ mít,"Di tích có bảy phỏng ông và hai phỏng bà được làm bằng gỗ mít.
",di tích có bảy phỗng ông và hai phỗng bà được làm bằng gỗ mít,di tích có bảy phỏng ong và hai phỏng bà được làm bằng gỗ mít,di tích có bảy phỏng ông và hai phỏng bà được làm bằng gỗ mít,0.2,0.1333
NÓ TRỐN MẤT TIÊU RỒI CÒN ĐÂU, Nó trốn mất tiêu rồi còn đâu,"Nói trốn mất tiêu rồi, còn đâu? Hử.",nó trốn mất tiêu rồi còn đâu,nó trốn mất tiêu rồi còn đâu,nói trốn mất tiêu rồi còn đâu? hử,0,0.4286
TRƯỞNG CÔNG AN XÃ CHẠY SANG CAN NGĂN CŨNG BỊ TUYẾN ĐÁNH TIẾP, Trưởng công an xã chạy sang can ngăn cũng bị tuyến đánh tiếp.,Trưởng công an xã chạy sang can ngăn cũng bị tuyến đánh tiếp.,trưởng công an xã chạy sang can ngăn cũng bị tuyến đánh tiếp,trưởng công an xã chạy sang can ngăn cũng bị tuyến đánh tiếp,trưởng công an xã chạy sang can ngăn cũng bị tuyến đánh tiếp,0,0
CÁC CHÚ CŨNG THOẢI MÁI PHÓNG UẾ GIỮA CHỐN ĐÔNG NGƯỜI MÀ KHÔNG SỢ, Các chú cũng hỏi mái phóng ế giữa trốn đông người mà không sợ,Các chú cũng thoải mái phóng uế giữa chốn đông người mà không sợ.,các chú cũng thoải mái phóng uế giữa chốn đông người mà không sợ,các chú cũng hỏi mái phóng ế giữa trốn đông người mà không sợ,các chú cũng thoải mái phóng uế giữa chốn đông người mà không sợ,0.2143,0
CHẮC SẮP TỚI THU XẾP ĐI DU LỊCH THÔI, Chắc sắp tới Hueship đi du lịch thôi,Chắc sắp tới Huỳnh đi du lịch Hàn.,chắc sắp tới thu xếp đi du lịch thôi,chắc sắp tới hueship đi du lịch thôi,chắc sắp tới huỳnh đi du lịch hàn,0.2222,0.3333
NHƯNG GIẤC NGỦ CHẬP CHỜN, Nhưng giấc ngủ chập trờn,"Nhưng giấc ngủ chập chờn,",nhưng giấc ngủ chập chờn,nhưng giấc ngủ chập trờn,nhưng giấc ngủ chập chờn,0.2,0
NHỮNG DỰ ĐỊNH CẦN PHẢI ĐƯỢC BIẾN THÀNH HIỆN THỰC, Những dự định cần phải được biến hành hiện thực.,Những dự định cần phải được biến thành hiện thực.,những dự định cần phải được biến thành hiện thực,những dự định cần phải được biến hành hiện thực,những dự định cần phải được biến thành hiện thực,0.1,0
ĐÈN BỊ HƯ RỒI BA, Đèn bị hư gò 3.,đèn bị hư rồi ba.,đèn bị hư rồi ba,đèn bị hư gò ba,đèn bị hư rồi ba,0.2,0
TIẾNG CỌC CẠCH KHỰNG LẠI CỦA NHỮNG KHỚP SẮT, Tiếng cọc cạch khận lại có những góp sắt,Tiếng cọc cạch khựng lại của những khớp sắt.,tiếng cọc cạch khựng lại của những khớp sắt,tiếng cọc cạch khận lại có những góp sắt,tiếng cọc cạch khựng lại của những khớp sắt,0.3333,0
MỘT BÀ NGOẠI GIẶT ĐỒ THUÊ, Một bà ngoại giặt đồ hơi,"một bà ngoại giặt đồ thôi.
",một bà ngoại giặt đồ thuê,một bà ngoại giặt đồ hơi,một bà ngoại giặt đồ thôi,0.1667,0.1667
TỈNH QUẢNG TRỊ ĐÃ PHÊ DUYỆT, Tỉnh Quảng Trị đã phê duyệt.,Tỉnh quản trị đã phê duyệt các,tỉnh quảng trị đã phê duyệt,tỉnh quảng trị đã phê duyệt,tỉnh quản trị đã phê duyệt các,0,0.3333
BÀN CHỔI SƠN BẰNG BÔNG MỀM RẤT PHỔ BIẾN, Bàn chổi sơn bằng bông mềm gức phổ biến,"Bàn chổi sơn bằng bông mềm rất phổ biến.
",bàn chổi sơn bằng bông mềm rất phổ biến,bàn chổi sơn bằng bông mềm gức phổ biến,bàn chổi sơn bằng bông mềm rất phổ biến,0.1111,0
ĐÔI BÀN TAY EM KHÔNG ĐƯỢC MỀM MẠI VÀ NÕN NÀ, Đôi bàn tay em không được mềm mại và nõn nà,Đôi bàn tay em không được mềm mại và nõn nà.,đôi bàn tay em không được mềm mại và nõn nà,đôi bàn tay em không được mềm mại và nõn nà,đôi bàn tay em không được mềm mại và nõn nà,0,0
NHƯNG KHI TIẾN GẦN VÀO VỊNH THÌ MẶT BIỂN BỊ RẠN VỠ, Nhưng khi tiến gần vào vĩnh thì mặt biển bị gạn vỡ,Nhưng khi tiếng gần vào vịnh thì mặt biển bị gạn vỡ.,nhưng khi tiến gần vào vịnh thì mặt biển bị rạn vỡ,nhưng khi tiến gần vào vĩnh thì mặt biển bị gạn vỡ,nhưng khi tiếng gần vào vịnh thì mặt biển bị gạn vỡ,0.1667,0.1667
TÂY GIANG VẪN CÒN KHẮC KHOẢI KHÔNG THỂ VÀO XÃ A NÔNG, Tây Giang vẫn còn khắp khỏi không hỡi vào xã A Nông,Tây Giang vẫn còn khắc khỏi không hễ vào xã A Nông.,tây giang vẫn còn khắc khoải không thể vào xã a nông,tây giang vẫn còn khắp khỏi không hỡi vào xã a nông,tây giang vẫn còn khắc khỏi không hễ vào xã a nông,0.25,0.1667
VIỆC MỘT QUYỂN TIỂU THUYẾT NHƯ THẾ, Việc một quyển tiểu huyết như thế,"Việc một quyển tiểu thuyết như thế,",việc một quyển tiểu thuyết như thế,việc một quyển tiểu huyết như thế,việc một quyển tiểu thuyết như thế,0.1429,0
VIỆC QUY TỘI ĐỂ BÙNG NỔ LOẠI SÁCH NÀY LÀ DO, Việc quy tội để bùng nổ loại sách này là do...,việc quy tội để bùng nổ loại sách này là do?,việc quy tội để bùng nổ loại sách này là do,việc quy tội để bùng nổ loại sách này là do,việc quy tội để bùng nổ loại sách này là do?,0,0.0909
NGƯỜI TA NÓI, Người ta nói,"Người ta nói,",người ta nói,người ta nói,người ta nói,0,0
THẰNG ĐÓ CÓ CÁI MIỆNG NHƯ ĐÀN BÀ, Hàng đó có cái miệng như đàn bà,"thằng đó có cái miệng như đàn bà.
",thằng đó có cái miệng như đàn bà,hàng đó có cái miệng như đàn bà,thằng đó có cái miệng như đàn bà,0.125,0
NHƯNG TÌNH YÊU VẪN NỒNG NÀN VÀ SAY ĐẮM NHƯ BUỔI BAN ĐẦU, Nhưng tình yêu vẫn nồng nàng và say đắm như buổi ban đầu,nhưng tình yêu vẫn nồng nàn và say đắm như buổi ban đầu.,nhưng tình yêu vẫn nồng nàn và say đắm như buổi ban đầu,nhưng tình yêu vẫn nồng nàng và say đắm như buổi ban đầu,nhưng tình yêu vẫn nồng nàn và say đắm như buổi ban đầu,0.0769,0
CÔNG VĂN ĐỀ NGHỊ TỈNH CON TUM XÂY DỰNG CỬA KHẨU, Công văn đề nghị tính con tâm xây dựng cửa khẩu,Công văn đề nghị tỉnh Kon Tum xây dựng cửa khẩu.,công văn đề nghị tỉnh con tum xây dựng cửa khẩu,công văn đề nghị tính con tâm xây dựng cửa khẩu,công văn đề nghị tỉnh kon tum xây dựng cửa khẩu,0.1818,0.0909
